Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches
Lille,HOME,2,78.73333333333333,13.915390588772393,3.5929384004191265,71.5,90.0,15,5
Lille,HOME,1,27.833333333333332,14.133883637085267,5.770133832455227,15.75,38.5,6,4
Lorient,AWAY,2,72.14285714285714,18.78322453173373,7.0993915615507275,56.0,89.5,7,6
Lorient,HOME,1,33.0,15.75595125658873,5.251983752196243,31.0,44.0,9,5
Lorient,HOME,2,69.71428571428571,16.171403331630984,3.5288895171838117,53.0,86.0,21,7
Lorient,AWAY,1,23.22222222222222,11.659521621595134,3.886507207198378,16.0,30.0,9,6
Marseille,AWAY,2,68.53846153846153,15.141638972358002,4.199535054569281,53.0,78.0,13,6
Marseille,HOME,1,22.846153846153847,8.74496191954882,2.4254160463779435,18.0,28.0,13,7
Marseille,HOME,2,77.66666666666667,12.044036845236391,2.8388067087090953,70.5,90.0,18,6
Marseille,AWAY,1,22.8,9.066421565314508,4.054626986542658,17.0,30.0,5,3
Lyon,AWAY,1,20.857142857142858,15.603723609324488,5.897653170979967,9.0,32.0,7,5
Lyon,HOME,1,28.0,3.3806170189140663,1.1952286093343936,25.0,30.25,8,4
Lyon,HOME,2,76.36363636363636,15.285762835218446,4.608830905343522,67.5,88.5,11,7
Lyon,AWAY,2,73.9,15.38000144487784,4.863583498249459,59.75,88.5,10,3
Metz,HOME,2,76.22222222222223,15.327897587224559,5.10929919574152,69.0,87.0,9,5
Metz,AWAY,1,19.916666666666668,13.707717357441945,3.9570771531472064,7.5,28.5,12,6
Metz,AWAY,2,74.19047619047619,15.516504270031467,3.3859788256440337,64.0,86.0,21,7
Metz,HOME,1,23.666666666666668,10.598742063723098,6.11918658356194,14.0,35.0,3,3
Nantes,HOME,2,79.18181818181819,12.38400728212142,3.7339186868932455,71.0,89.5,11,6
Nantes,AWAY,2,66.77777777777777,14.350764594419505,4.783588198139835,56.0,77.0,9,5
Nantes,HOME,1,26.22222222222222,16.330782113678588,5.443594037892862,8.0,41.0,9,5
Nantes,AWAY,1,20.8,19.690099034794112,8.805679985100525,4.0,38.0,5,3
Monaco,HOME,1,28.416666666666668,14.761487565672885,4.2612744098402775,19.0,40.5,12,6
Monaco,HOME,2,68.625,14.150971698084906,3.5377429245212264,59.0,77.75,16,7
Monaco,AWAY,2,78.1875,12.432316759156356,3.108079189789089,73.0,89.25,16,6
Monaco,AWAY,1,30.857142857142858,15.614401167176531,5.90168890850654,19.5,43.0,7,4
Nice,HOME,2,71.72727272727273,15.153157486747832,4.568848888427944,57.0,87.5,11,7
Nice,HOME,1,23.0,12.814921857827391,4.052434110781102,13.5,32.0,10,5
Nice,AWAY,2,68.36363636363636,14.800491392333752,4.462516060114167,54.5,80.0,11,7
Nice,AWAY,1,29.23076923076923,14.526721620022911,4.028987666567994,13.0,42.0,13,6
Paris SG,AWAY,2,71.07692307692308,16.899021364473242,4.686945233443823,51.0,89.0,13,7
Paris SG,HOME,2,64.77777777777777,16.399525738400012,5.46650857946667,51.0,79.0,9,6
Paris SG,AWAY,1,23.636363636363637,12.500181816859524,3.768946627067827,11.5,32.0,11,4
Paris SG,HOME,1,24.833333333333332,12.512660255384011,5.108272158415646,17.75,31.25,6,4
Paris FC,AWAY,1,23.818181818181817,11.02559006872813,3.3243404863854558,15.5,31.0,11,6
Paris FC,AWAY,2,74.16666666666667,14.089540500497224,4.067300000360103,62.5,85.0,12,6
Paris FC,HOME,1,25.545454545454547,13.808429573008192,4.163398167065054,18.5,35.0,11,6
Paris FC,HOME,2,71.15384615384616,13.969288659091617,3.874383580162494,58.0,81.0,13,4
Rennes,HOME,2,73.07142857142857,15.32451171622311,4.095648032979287,61.75,88.25,14,6
Rennes,AWAY,1,29.5,12.071217242444348,4.267819784654187,21.75,37.5,8,5
Rennes,AWAY,2,66.08333333333333,14.755327748636999,4.259496223828363,53.25,79.5,12,6
Rennes,HOME,1,23.375,14.080761951785746,4.978301130190613,12.75,35.75,8,5
Toulouse,AWAY,2,79.1,14.448760039071404,4.56909910886891,68.0,90.0,10,5
Toulouse,HOME,2,67.4,15.467939192314628,3.993804726132237,53.0,81.5,15,5
